model,hr_median,hr_low,hr_high,p_median,hr_label,label_x,panel_id,subpanel_id
NfL,1.3751845081396827,0.8577071438671856,2.466114642124349,0.254845224003651,HR=1.38 [0.86–2.47],27,EX11Y,split_hr
NfL + miR-181,1.5307141076365594,0.979569117173033,3.144019432954364,0.1425367991152036,HR=1.53 [0.98–3.14],27,EX11Y,split_hr
Signature,1.965064205244109,1.1375532692635157,3.6312678911187914,0.016831972556174656,HR=1.97 [1.14–3.63],27,EX11Y,split_hr
Signature + NfL,2.5246377996416953,1.3053705012321466,4.517090256715174,0.0034777989564576915,HR=2.52 [1.31–4.52],27,EX11Y,split_hr
Signature + miR-181 + NfL,2.5169435304591685,1.3409072393675507,5.079844304075,0.003213294828810268,HR=2.52 [1.34–5.08],27,EX11Y,split_hr
miR-181,1.7581946810646698,0.8466804045303661,3.7031459469558095,0.10177747511721563,HR=1.76 [0.85–3.70],27,EX11Y,split_hr
