component_id,display_item,source_plot,plot_data,source_data,n_rows,n_columns,n_displayed,source_r_script,notes
A_marker_bubble_map,Marker bubble map,components/A_marker_bubble_map/plot.png,components/A_marker_bubble_map/plot_data.csv,components/A_marker_bubble_map/source_data.csv,196,9,28,figures/F4/Main/Part E/generate_F4_part_E.R,Exact EX7I source table; dot size = fraction expressing and colour = mean expression.
B_celltype_umap,Cell-type UMAP,components/B_celltype_umap/plot.png,components/B_celltype_umap/plot_data.csv,components/B_celltype_umap/source_data.csv,527275,14,527275,figures/F4/Main/Part E/generate_F4_part_E.R,Exact EX7D_full source table; selected composite displays refined cell groups.
C_five_gene_expression_umap,Five-gene expression UMAP,components/C_five_gene_expression_umap/plot.png,components/C_five_gene_expression_umap/plot_data.csv,components/C_five_gene_expression_umap/source_data.csv,527261,16,527261,figures/F4/Main/Part E/generate_F4_part_E.R,"Re-derived from ex7_reuse_target_expression.rds; NPM1, MTMR3, ZBTB16, LAMP1 and CBL; per-gene 99th-percentile clipping and 0–1 scaling."
