panel,model,horizon_months,auroc,ci_low,ci_high,sensitivity,specificity
A_timedep_auroc,NfL,6,0.6344140153040677,0.5449740412137952,0.72860914649518,,
A_timedep_auroc,NfL,9,0.6433566433566433,0.5699843312065681,0.7210051880793407,,
A_timedep_auroc,NfL,12,0.7048859263331501,0.6396639054391997,0.7704969453256668,,
A_timedep_auroc,NfL,15,0.6893104855161158,0.61874659632403,0.7574169350947664,,
A_timedep_auroc,NfL,18,0.6680572938395215,0.6009685717721432,0.7416897827891533,,
A_timedep_auroc,NfL,21,0.6741964153458747,0.6056042921686746,0.7471941314948373,,
A_timedep_auroc,NfL,24,0.6710963455149502,0.6064449464524766,0.7460556408219932,,
A_timedep_auroc,NfL,27,0.6667124542124543,0.5855231187909533,0.7431913050874593,,
A_timedep_auroc,NfL,30,0.7027629233511586,0.6246775893036036,0.7763885145463908,,
A_timedep_auroc,NfL,33,0.7272002551020409,0.6555683861287153,0.7903766520827636,,
A_timedep_auroc,NfL,36,0.7043650793650793,0.6313181762882778,0.7754779296637648,,
A_timedep_auroc,NfL,39,0.7149987036556908,0.6353356737740292,0.7856047341064206,,
A_timedep_auroc,NfL,42,0.7150900900900901,0.6351592983556298,0.7863117720066206,,
A_timedep_auroc,NfL,45,0.7032645293514858,0.6167569065395152,0.7790778894449025,,
A_timedep_auroc,NfL,48,0.7104867788461539,0.6238105732204704,0.7866689895470383,,
A_timedep_auroc,NfL,51,0.7000000000000001,0.6121065567862002,0.7772713924070286,,
A_timedep_auroc,NfL,54,0.7036304816678649,0.5936966282320056,0.7893977774146103,,
A_timedep_auroc,NfL,57,0.7106976744186047,0.593710474451497,0.7910793835793836,,
A_timedep_auroc,NfL,60,0.7204968944099378,0.6062228063309525,0.8165974273404614,,
A_timedep_auroc,NfL,63,0.6737373737373737,0.5705962246394445,0.783080926711912,,
A_timedep_auroc,NfL,66,0.7046757164404223,0.5770154185022027,0.8111814416133425,,
A_timedep_auroc,NfL,69,0.6920849420849421,0.5575580009534403,0.7993662110558856,,
A_timedep_auroc,NfL,72,0.6671265953777165,0.5347585787155114,0.773417792976703,,
A_timedep_auroc,NfL,75,0.6826108619830593,0.5436952201386058,0.7942584675791714,,
A_timedep_auroc,NfL,78,0.6826108619830593,0.5436952201386058,0.7942584675791714,,
A_timedep_auroc,NfL,81,0.7034438775510204,0.5333176078650639,0.8485197911206881,,
