fs,clf,horizon,auc_mean,auc_std,auc_count,bal_mean,bal_std,bal_count,sens_mean,sens_std,sens_count,spec_mean,spec_std,spec_count,ppv_mean,ppv_std,ppv_count,npv_mean,npv_std,npv_count
ALSFRS slope,AdaBoost,12,0.6876925770308123,0.04708377494531359,200,0.6306092436974791,0.04617586603642748,200,0.8026470588235294,0.09364117866262688,200,0.4585714285714285,0.09848034582537078,200,0.5475758847738516,0.03937108119657139,200,0.7532726239885785,0.08366975956381778,200
ALSFRS slope,AdaBoost,24,0.675268959435626,0.058547717015867876,200,0.6184589947089947,0.05907145381236829,200,0.7528703703703704,0.12369908833671997,200,0.484047619047619,0.18781203975313668,200,0.7952057468200274,0.04525844968501525,200,0.4563792191285257,0.11055469441271354,200
ALSFRS slope,AdaBoost,36,0.7410597189695551,0.05748028175057085,200,0.6680766978922716,0.07149743517824131,200,0.7200819672131148,0.11596500790962365,200,0.6160714285714285,0.20498323430470067,200,0.8961031069856955,0.041396923748625795,200,0.3522580333518955,0.0903281339638608,200
ALSFRS slope,AdaBoost,54,0.8282528409090909,0.060910605243643404,200,0.7521875,0.061026662167403704,200,0.6575,0.08135833274221303,200,0.846875,0.1340548877874227,200,0.9738297594201643,0.021939427049716978,200,0.23641470506094564,0.04280087995903078,200
ALSFRS slope,AdaBoost,75,0.8103019323671498,0.10301850937030833,200,0.7974275362318841,0.08825558878600373,200,0.7215217391304348,0.07477739059161209,200,0.8733333333333333,0.23045605745245032,200,0.9935112452294242,0.011466248070245648,200,0.12028878233030507,0.023843499925799993,200
ALSFRS slope,ExTrees,12,0.7257528011204483,0.048116351978723375,200,0.6660224089635856,0.04467779282591948,200,0.6882352941176471,0.05029861620385192,200,0.6438095238095238,0.040425837520101884,200,0.6100227732793523,0.04372427864786796,200,0.718455626679311,0.04486278304363518,200
ALSFRS slope,ExTrees,24,0.6871935626102292,0.05225817144058214,200,0.6374206349206349,0.05136239696417094,200,0.5872222222222222,0.02932974521554069,200,0.6876190476190476,0.07466772149608233,200,0.828634800533228,0.04070360259122032,200,0.39313403739874325,0.042242280681219053,200
ALSFRS slope,ExTrees,36,0.7523711943793912,0.05157804291788334,200,0.6681528103044496,0.059574755944306786,200,0.5723770491803278,0.02246057673184602,200,0.7639285714285714,0.0979739112907661,200,0.9135989393041704,0.03561688398068549,200,0.29073801322330733,0.03680928971215,200
ALSFRS slope,ExTrees,54,0.8684185606060606,0.0450928124802301,200,0.7373390151515151,0.04588733668145936,200,0.5553030303030302,0.01193611529236311,200,0.919375,0.08302681273640358,200,0.9827528696366952,0.017702248975795132,200,0.20037380562380563,0.01779081023807827,200
ALSFRS slope,ExTrees,75,0.8941787439613527,0.049559825514107037,200,0.7636594202898551,0.0046332581687190495,200,0.5273188405797101,0.009266516337438139,200,1.0,0.0,200,1.0,0.0,200,0.08426209574738984,0.001563841939817318,200
ALSFRS slope,GBM,12,0.6365283613445378,0.04818788707492834,200,0.596186974789916,0.048393445065007146,200,0.6255882352941177,0.05707648035053666,200,0.5667857142857143,0.05276661414922859,200,0.539372994282301,0.04660706181752738,200,0.6515675420813212,0.049856640569989945,200
ALSFRS slope,GBM,24,0.635950176366843,0.06020512127540982,200,0.6042328042328042,0.056840189840589694,200,0.5887037037037037,0.04379881891855512,200,0.6197619047619047,0.08261354614046373,200,0.7991673256830686,0.0426397866106254,200,0.370177009718782,0.05087848605399799,200
ALSFRS slope,GBM,36,0.7454918032786886,0.05038695707099183,200,0.6943530444964872,0.06325923027113349,200,0.6104918032786886,0.03744921298812039,200,0.7782142857142857,0.10939778375147455,200,0.9235070422871766,0.03661605946670626,200,0.31479158295505294,0.04227555070399218,200
ALSFRS slope,GBM,54,0.8130539772727273,0.05776646032181641,200,0.7527272727272727,0.05593368960962429,200,0.6504545454545455,0.07607683603686953,200,0.855,0.13049480630416607,200,0.975117503015147,0.02124344605267581,200,0.23311319768145047,0.03690899386624444,200
ALSFRS slope,GBM,75,0.8029710144927535,0.10985258644401534,200,0.7944927536231884,0.09054814102846787,200,0.7223188405797102,0.07545973323429352,200,0.8666666666666667,0.23629373500277864,200,0.9931722621785769,0.011768041048779546,200,0.11959372738525012,0.0240817750932707,200
ALSFRS slope,LDA,12,0.7336817226890756,0.04914913554644363,200,0.6649684873949581,0.045987171072265264,200,0.6852941176470588,0.0509853185125931,200,0.6446428571428571,0.041954107157931304,200,0.6096004122642441,0.04542949346231553,200,0.7167480920770395,0.04563513870490565,200
ALSFRS slope,LDA,24,0.7029850088183421,0.053336205610668874,200,0.6424272486772488,0.05096183507567478,200,0.5884259259259259,0.028606804977781113,200,0.6964285714285714,0.07386951533063826,200,0.8329318488529015,0.04044009070934454,200,0.39686186186186184,0.0418114525160069,200
ALSFRS slope,LDA,36,0.757043325526932,0.05259907191889335,200,0.670403981264637,0.05588857041878734,200,0.5729508196721311,0.02287596799169927,200,0.7678571428571429,0.09022300565635517,200,0.9148801224449491,0.03319432407789005,200,0.29221150352032704,0.034839323932474596,200
ALSFRS slope,LDA,54,0.8755681818181819,0.045770196550498625,200,0.7405492424242424,0.04357901190848472,200,0.5548484848484848,0.011219711891450754,200,0.92625,0.07844876380615294,200,0.9841742349637087,0.016795766187631796,200,0.20141692532869002,0.016932756116252303,200
ALSFRS slope,LDA,75,0.8765217391304349,0.04838774472171557,200,0.7622101449275362,0.0031730002355394907,200,0.5244202898550724,0.0063460004710790135,200,1.0,0.0,200,1.0,0.0,200,0.08377661064425768,0.0010543449613760968,200
ALSFRS slope,LogReg,12,0.7336817226890756,0.04914913554644363,200,0.6649684873949581,0.045987171072265264,200,0.6852941176470588,0.0509853185125931,200,0.6446428571428571,0.041954107157931304,200,0.6096004122642441,0.04542949346231553,200,0.7167480920770395,0.04563513870490565,200
ALSFRS slope,LogReg,24,0.7029850088183421,0.053336205610668874,200,0.6424272486772488,0.05096183507567478,200,0.5884259259259259,0.028606804977781113,200,0.6964285714285714,0.07386951533063826,200,0.8329318488529015,0.04044009070934454,200,0.39686186186186184,0.0418114525160069,200
ALSFRS slope,LogReg,36,0.757043325526932,0.05259907191889335,200,0.670403981264637,0.05588857041878734,200,0.5729508196721311,0.02287596799169927,200,0.7678571428571429,0.09022300565635517,200,0.9148801224449491,0.03319432407789005,200,0.29221150352032704,0.034839323932474596,200
ALSFRS slope,LogReg,54,0.8755681818181819,0.045770196550498625,200,0.7405492424242424,0.04357901190848472,200,0.5548484848484848,0.011219711891450754,200,0.92625,0.07844876380615294,200,0.9841742349637087,0.016795766187631796,200,0.20141692532869002,0.016932756116252303,200
ALSFRS slope,LogReg,75,0.8765217391304349,0.04838774472171557,200,0.7622101449275362,0.0031730002355394907,200,0.5244202898550724,0.0063460004710790135,200,1.0,0.0,200,1.0,0.0,200,0.08377661064425768,0.0010543449613760968,200
ALSFRS slope,RF,12,0.6745063025210084,0.049802302799424755,200,0.6370133053221289,0.04710940900147079,200,0.656764705882353,0.05150362100351844,200,0.6172619047619048,0.044587486599976835,200,0.5816072252547684,0.046442697120927114,200,0.6895004382372804,0.04690859835040046,200
ALSFRS slope,RF,24,0.6495282186948853,0.058914979482117415,200,0.6136574074074074,0.05369586385624016,200,0.5773148148148148,0.03217894263400961,200,0.65,0.07752921720995715,200,0.8092106991211613,0.04204481284764451,200,0.37431319554848963,0.0447757946806317,200
