group,time,surv,n_risk,strata,repeat_id,signature
High,55,0.015748031496063006,2,group=High,1,Plasma-5
Low,55,0.21452858829482213,24,group=Low,1,Plasma-5
High,56,0.015748031496063006,2,group=High,1,Plasma-5
Low,56,0.21452858829482213,24,group=Low,1,Plasma-5
High,57,0.015748031496063006,2,group=High,1,Plasma-5
Low,57,0.20558989711587122,23,group=Low,1,Plasma-5
High,58,0.015748031496063006,2,group=High,1,Plasma-5
Low,58,0.20558989711587122,23,group=Low,1,Plasma-5
High,59,0.015748031496063006,2,group=High,1,Plasma-5
Low,59,0.19665120593692031,22,group=Low,1,Plasma-5
High,60,0.015748031496063006,2,group=High,1,Plasma-5
Low,60,0.1877125147579694,21,group=Low,1,Plasma-5
High,61,0.007874015748031503,1,group=High,1,Plasma-5
Low,61,0.17877382357901847,20,group=Low,1,Plasma-5
High,62,0.007874015748031503,1,group=High,1,Plasma-5
Low,62,0.17877382357901847,20,group=Low,1,Plasma-5
High,63,0.007874015748031503,1,group=High,1,Plasma-5
Low,63,0.16884194449129522,18,group=Low,1,Plasma-5
High,64,0.007874015748031503,1,group=High,1,Plasma-5
Low,64,0.15891006540357197,16,group=Low,1,Plasma-5
High,65,0.007874015748031503,1,group=High,1,Plasma-5
Low,65,0.15891006540357197,16,group=Low,1,Plasma-5
High,66,0.007874015748031503,1,group=High,1,Plasma-5
Low,66,0.15891006540357197,14,group=Low,1,Plasma-5
High,67,0.007874015748031503,1,group=High,1,Plasma-5
Low,67,0.15891006540357197,14,group=Low,1,Plasma-5
High,68,0.007874015748031503,1,group=High,1,Plasma-5
Low,68,0.15891006540357197,14,group=Low,1,Plasma-5
High,69,0.007874015748031503,1,group=High,1,Plasma-5
Low,69,0.14755934644617397,13,group=Low,1,Plasma-5
High,70,0.007874015748031503,1,group=High,1,Plasma-5
Low,70,0.14755934644617397,13,group=Low,1,Plasma-5
High,71,0,0,group=High,1,Plasma-5
Low,71,0.14755934644617397,13,group=Low,1,Plasma-5
High,72,0,0,group=High,1,Plasma-5
Low,72,0.14755934644617397,13,group=Low,1,Plasma-5
High,73,0,0,group=High,1,Plasma-5
Low,73,0.14755934644617397,12,group=Low,1,Plasma-5
High,74,0,0,group=High,1,Plasma-5
Low,74,0.14755934644617397,11,group=Low,1,Plasma-5
High,75,0,0,group=High,1,Plasma-5
Low,75,0.14755934644617397,9,group=Low,1,Plasma-5
High,76,0,0,group=High,1,Plasma-5
Low,76,0.14755934644617397,9,group=Low,1,Plasma-5
High,77,0,0,group=High,1,Plasma-5
Low,77,0.14755934644617397,9,group=Low,1,Plasma-5
High,78,0,0,group=High,1,Plasma-5
Low,78,0.14755934644617397,9,group=Low,1,Plasma-5
