node,rho,strength,loading_raw,loading,node_type
hsa-miR-183-5p,0.1863017089412157,0.5254263306209811,0.0023148925974965,0.31307202611287727,miRNA
hsa-miR-628-3p,-0.0657408306039497,0.5590716268017707,0.0022927124518901,0.3100723261993763,miRNA
hsa-miR-1307-3p,-0.2220167591539333,0.5840985959943412,0.0022687199525535,0.30682751890812454,miRNA
hsa-miR-106b-5p,-0.0107929578160529,0.6114575422616145,0.0024761888198554,0.33488614189209986,miRNA
hsa-miR-342-3p,0.0193463189171343,0.9700584524610126,0.0039064744487404,0.5283216473835527,miRNA
hsa-miR-142-5p,-0.1253918648898554,0.9917712646307083,0.0031667954754084,0.42828556143097657,miRNA
hsa-miR-30e-3p,-0.2173158745538999,1.0552355944080043,0.0026601797435432,0.35976954742357675,miRNA
hsa-miR-1-3p,-0.2035553980991437,1.283229455054486,0.0029522902332246,0.39927532101855184,miRNA
hsa-miR-28-3p,-0.122225584147023,1.3441404369739691,0.0028291891794651,0.3826268180345273,miRNA
hsa-miR-99a-5p,-0.3180333667916913,1.7860596115351721,0.0026239431463181,0.3548688168562203,miRNA
hsa-miR-326,-0.2491079529401896,1.8798052542574597,0.0022922740317881,0.31001303313767214,miRNA
hsa-miR-199a-3p,-0.2682365490307176,1.9847580817395454,0.0029596721287816,0.4002736675513815,miRNA
hsa-miR-421,-0.0861010234400792,2.006791198772935,0.0022253771312534,0.30096572432787244,miRNA
hsa-miR-328-3p,-0.2732752209558309,2.0135959852479117,0.0045023392885923,0.6089079402005962,miRNA
hsa-miR-324-5p,-0.2232929753418801,2.0279583763349214,0.0028395252302289,0.38402469211219636,miRNA
hsa-miR-31-5p,-0.2784508625534697,2.0437483814203774,0.0039704209193587,0.5369699324663637,miRNA
hsa-miR-4492,-0.3718217041752666,2.6889671408491886,0.0073941214941442,1.0,miRNA
hsa-miR-122-5p,-0.3929233441973199,2.8644199657183473,0.0034882337786257,0.4717577039257765,miRNA
hsa-miR-93-3p,-0.3046541308534163,3.015984741032881,0.0030117456335574,0.4073162222101114,miRNA
SYNPO2,0.2099433815551664,0.4953456169961616,0.0166886523365974,0.6541764730019782,mRNA
NRXN3,-0.13061476397325,0.5254263306209811,0.0168963577598333,0.6623182928718712,mRNA
KIAA0825,0.2061826516488124,0.5837974742308193,0.0188891142606735,0.7404321149456069,mRNA
LAMP1,-0.3343154344749627,0.9700584524610126,0.0224293228238821,0.8792043240407955,mRNA
NBPF1,0.2382212888613901,1.0552355944080043,0.0174575522541999,0.6843164882676607,mRNA
STK4,0.2374864228303885,1.2018355742718245,0.0176150817424058,0.6904914677033792,mRNA
DDX60,0.2929075878878205,1.283229455054486,0.0164500977843999,0.6448254018413128,mRNA
IRF1,0.1026589744995673,1.4366933353957057,0.0157487522810697,0.6173334439246023,mRNA
SLC22A8,0.3298718361960218,1.7342982473616737,0.0183794889599084,0.7204553741589355,mRNA
RAB6B,0.1541548837053357,1.7778999834306588,0.0182915460318326,0.7170081099129225,mRNA
ZBTB16,0.3868512118131459,2.0279583763349214,0.0222923103719949,0.8738335894407124,mRNA
NAGK,0.2402820819464778,2.1643449946508957,0.0242951270192861,0.9523417579835618,mRNA
MTMR3,0.2729788275376196,2.1732372491938023,0.0178884919732809,0.7012088424145954,mRNA
NHEJ1,0.2853241314067344,2.4192626927985748,0.0208338946104049,0.8166653256501587,mRNA
CBL,0.3505908538093082,2.8644199657183473,0.017822615802288,0.698626570321809,mRNA
NPM1,0.4441433146743152,3.015984741032881,0.0255109332501888,1.0,mRNA
