"group","time","surv","n_risk","strata","repeat_id","signature"
"Low",49,0.232405970652724,26,"group=Low",1,"Plasma-5"
"High",50,0.0393700787401575,5,"group=High",1,"Plasma-5"
"Low",50,0.232405970652724,26,"group=Low",1,"Plasma-5"
"High",51,0.031496062992126,4,"group=High",1,"Plasma-5"
"Low",51,0.232405970652724,26,"group=Low",1,"Plasma-5"
"High",52,0.031496062992126,4,"group=High",1,"Plasma-5"
"Low",52,0.214528588294822,24,"group=Low",1,"Plasma-5"
"High",53,0.0236220472440945,3,"group=High",1,"Plasma-5"
"Low",53,0.214528588294822,24,"group=Low",1,"Plasma-5"
"High",54,0.015748031496063,2,"group=High",1,"Plasma-5"
"Low",54,0.214528588294822,24,"group=Low",1,"Plasma-5"
"High",55,0.015748031496063,2,"group=High",1,"Plasma-5"
"Low",55,0.214528588294822,24,"group=Low",1,"Plasma-5"
"High",56,0.015748031496063,2,"group=High",1,"Plasma-5"
"Low",56,0.214528588294822,24,"group=Low",1,"Plasma-5"
"High",57,0.015748031496063,2,"group=High",1,"Plasma-5"
"Low",57,0.205589897115871,23,"group=Low",1,"Plasma-5"
"High",58,0.015748031496063,2,"group=High",1,"Plasma-5"
"Low",58,0.205589897115871,23,"group=Low",1,"Plasma-5"
"High",59,0.015748031496063,2,"group=High",1,"Plasma-5"
"Low",59,0.19665120593692,22,"group=Low",1,"Plasma-5"
"High",60,0.015748031496063,2,"group=High",1,"Plasma-5"
"Low",60,0.187712514757969,21,"group=Low",1,"Plasma-5"
"High",61,0.0078740157480315,1,"group=High",1,"Plasma-5"
"Low",61,0.178773823579018,20,"group=Low",1,"Plasma-5"
"High",62,0.0078740157480315,1,"group=High",1,"Plasma-5"
"Low",62,0.178773823579018,20,"group=Low",1,"Plasma-5"
"High",63,0.0078740157480315,1,"group=High",1,"Plasma-5"
"Low",63,0.168841944491295,18,"group=Low",1,"Plasma-5"
"High",64,0.0078740157480315,1,"group=High",1,"Plasma-5"
"Low",64,0.158910065403572,16,"group=Low",1,"Plasma-5"
"High",65,0.0078740157480315,1,"group=High",1,"Plasma-5"
"Low",65,0.158910065403572,16,"group=Low",1,"Plasma-5"
"High",66,0.0078740157480315,1,"group=High",1,"Plasma-5"
"Low",66,0.158910065403572,14,"group=Low",1,"Plasma-5"
"High",67,0.0078740157480315,1,"group=High",1,"Plasma-5"
"Low",67,0.158910065403572,14,"group=Low",1,"Plasma-5"
"High",68,0.0078740157480315,1,"group=High",1,"Plasma-5"
"Low",68,0.158910065403572,14,"group=Low",1,"Plasma-5"
"High",69,0.0078740157480315,1,"group=High",1,"Plasma-5"
"Low",69,0.147559346446174,13,"group=Low",1,"Plasma-5"
"High",70,0.0078740157480315,1,"group=High",1,"Plasma-5"
"Low",70,0.147559346446174,13,"group=Low",1,"Plasma-5"
"High",71,0,0,"group=High",1,"Plasma-5"
"Low",71,0.147559346446174,13,"group=Low",1,"Plasma-5"
"High",72,0,0,"group=High",1,"Plasma-5"
"Low",72,0.147559346446174,13,"group=Low",1,"Plasma-5"
"High",73,0,0,"group=High",1,"Plasma-5"
"Low",73,0.147559346446174,12,"group=Low",1,"Plasma-5"
"High",74,0,0,"group=High",1,"Plasma-5"
"Low",74,0.147559346446174,11,"group=Low",1,"Plasma-5"
"High",75,0,0,"group=High",1,"Plasma-5"
"Low",75,0.147559346446174,9,"group=Low",1,"Plasma-5"
"High",76,0,0,"group=High",1,"Plasma-5"
"Low",76,0.147559346446174,9,"group=Low",1,"Plasma-5"
"High",77,0,0,"group=High",1,"Plasma-5"
"Low",77,0.147559346446174,9,"group=Low",1,"Plasma-5"
"High",78,0,0,"group=High",1,"Plasma-5"
"Low",78,0.147559346446174,9,"group=Low",1,"Plasma-5"
"High",79,0,0,"group=High",1,"Plasma-5"
"Low",79,0.147559346446174,8,"group=Low",1,"Plasma-5"
"High",80,0,0,"group=High",1,"Plasma-5"
"Low",80,0.147559346446174,8,"group=Low",1,"Plasma-5"
"High",81,0,0,"group=High",1,"Plasma-5"
"Low",81,0.129114428140402,7,"group=Low",1,"Plasma-5"
"High",82,0,0,"group=High",1,"Plasma-5"
"Low",82,0.129114428140402,7,"group=Low",1,"Plasma-5"
"High",83,0,0,"group=High",1,"Plasma-5"
"Low",83,0.11066950983463,6,"group=Low",1,"Plasma-5"
"High",84,0,0,"group=High",1,"Plasma-5"
"Low",84,0.11066950983463,6,"group=Low",1,"Plasma-5"
"High",85,0,0,"group=High",1,"Plasma-5"
"Low",85,0.11066950983463,5,"group=Low",1,"Plasma-5"
"High",86,0,0,"group=High",1,"Plasma-5"
"Low",86,0.11066950983463,5,"group=Low",1,"Plasma-5"
"High",87,0,0,"group=High",1,"Plasma-5"
"Low",87,0.11066950983463,5,"group=Low",1,"Plasma-5"
"High",88,0,0,"group=High",1,"Plasma-5"
"Low",88,0.0885356078677044,4,"group=Low",1,"Plasma-5"
"High",89,0,0,"group=High",1,"Plasma-5"
"Low",89,0.0885356078677044,4,"group=Low",1,"Plasma-5"
"High",90,0,0,"group=High",1,"Plasma-5"
"Low",90,0.0885356078677044,4,"group=Low",1,"Plasma-5"
"High",91,0,0,"group=High",1,"Plasma-5"
"Low",91,0.0885356078677044,4,"group=Low",1,"Plasma-5"
"High",92,0,0,"group=High",1,"Plasma-5"
"Low",92,0.0885356078677044,4,"group=Low",1,"Plasma-5"
"High",93,0,0,"group=High",1,"Plasma-5"
"Low",93,0.0885356078677044,4,"group=Low",1,"Plasma-5"
"High",94,0,0,"group=High",1,"Plasma-5"
"Low",94,0.0885356078677044,4,"group=Low",1,"Plasma-5"
"High",95,0,0,"group=High",1,"Plasma-5"
"Low",95,0.0885356078677044,4,"group=Low",1,"Plasma-5"
"High",96,0,0,"group=High",1,"Plasma-5"
"Low",96,0.0885356078677044,3,"group=Low",1,"Plasma-5"
"High",97,0,0,"group=High",1,"Plasma-5"
"Low",97,0.0885356078677044,3,"group=Low",1,"Plasma-5"
"High",98,0,0,"group=High",1,"Plasma-5"
"Low",98,0.0885356078677044,3,"group=Low",1,"Plasma-5"
"High",99,0,0,"group=High",1,"Plasma-5"
"Low",99,0.0885356078677044,3,"group=Low",1,"Plasma-5"
"High",100,0,0,"group=High",1,"Plasma-5"
"Low",100,0.0885356078677044,3,"group=Low",1,"Plasma-5"
"High",0,1,117,"group=High",2,"Plasma-5"
"Low",0,1,131,"group=Low",2,"Plasma-5"
"High",1,0.991452991452992,116,"group=High",2,"Plasma-5"
"Low",1,0.99236641221374,130,"group=Low",2,"Plasma-5"
"High",2,0.957264957264957,113,"group=High",2,"Plasma-5"
"Low",2,0.938931297709924,123,"group=Low",2,"Plasma-5"
"High",3,0.914529914529915,108,"group=High",2,"Plasma-5"
"Low",3,0.854961832061069,115,"group=Low",2,"Plasma-5"
"High",4,0.871794871794872,102,"group=High",2,"Plasma-5"
"Low",4,0.83969465648855,112,"group=Low",2,"Plasma-5"
"High",5,0.837606837606838,98,"group=High",2,"Plasma-5"
"Low",5,0.809160305343511,106,"group=Low",2,"Plasma-5"
"High",6,0.803418803418804,94,"group=High",2,"Plasma-5"
"Low",6,0.763358778625954,100,"group=Low",2,"Plasma-5"
"High",7,0.752136752136752,88,"group=High",2,"Plasma-5"
"Low",7,0.740458015267175,98,"group=Low",2,"Plasma-5"
"High",8,0.692307692307693,83,"group=High",2,"Plasma-5"
"Low",8,0.732824427480916,96,"group=Low",2,"Plasma-5"
"High",9,0.666666666666667,80,"group=High",2,"Plasma-5"
"Low",9,0.679389312977099,89,"group=Low",2,"Plasma-5"
"High",10,0.598290598290599,70,"group=High",2,"Plasma-5"
"Low",10,0.648854961832061,85,"group=Low",2,"Plasma-5"
"High",11,0.564102564102565,66,"group=High",2,"Plasma-5"
"Low",11,0.610687022900763,81,"group=Low",2,"Plasma-5"
"High",12,0.521367521367522,61,"group=High",2,"Plasma-5"
"Low",12,0.580152671755725,77,"group=Low",2,"Plasma-5"
"High",13,0.452991452991453,53,"group=High",2,"Plasma-5"
"Low",13,0.572519083969465,75,"group=Low",2,"Plasma-5"
"High",14,0.427350427350428,51,"group=High",2,"Plasma-5"
"Low",14,0.549618320610687,72,"group=Low",2,"Plasma-5"
"High",15,0.393162393162393,46,"group=High",2,"Plasma-5"
"Low",15,0.526717557251908,69,"group=Low",2,"Plasma-5"
"High",16,0.367521367521368,43,"group=High",2,"Plasma-5"
"Low",16,0.519083969465648,68,"group=Low",2,"Plasma-5"
"High",17,0.350427350427351,41,"group=High",2,"Plasma-5"
"Low",17,0.511450381679389,67,"group=Low",2,"Plasma-5"
"High",18,0.307692307692308,36,"group=High",2,"Plasma-5"
"Low",18,0.503816793893129,66,"group=Low",2,"Plasma-5"
"High",19,0.282051282051282,33,"group=High",2,"Plasma-5"
"Low",19,0.480916030534351,64,"group=Low",2,"Plasma-5"
"High",20,0.273504273504274,32,"group=High",2,"Plasma-5"
"Low",20,0.458015267175572,60,"group=Low",2,"Plasma-5"
"High",21,0.23931623931624,28,"group=High",2,"Plasma-5"
"Low",21,0.442748091603053,58,"group=Low",2,"Plasma-5"
"High",22,0.230769230769231,27,"group=High",2,"Plasma-5"
"Low",22,0.427480916030534,56,"group=Low",2,"Plasma-5"
"High",23,0.222222222222222,26,"group=High",2,"Plasma-5"
"Low",23,0.404580152671755,53,"group=Low",2,"Plasma-5"
"High",24,0.170940170940171,21,"group=High",2,"Plasma-5"
"Low",24,0.389163298907349,51,"group=Low",2,"Plasma-5"
"High",25,0.153846153846154,19,"group=High",2,"Plasma-5"
"Low",25,0.373596766951055,48,"group=Low",2,"Plasma-5"
"High",26,0.145299145299145,17,"group=High",2,"Plasma-5"
"Low",26,0.358030234994761,46,"group=Low",2,"Plasma-5"
"High",27,0.136752136752137,16,"group=High",2,"Plasma-5"
"Low",27,0.342463703038467,44,"group=Low",2,"Plasma-5"
"High",28,0.136752136752137,16,"group=High",2,"Plasma-5"
"Low",28,0.342463703038467,44,"group=Low",2,"Plasma-5"
"High",29,0.11965811965812,14,"group=High",2,"Plasma-5"
"Low",29,0.33468043706032,43,"group=Low",2,"Plasma-5"
"High",30,0.111111111111111,13,"group=High",2,"Plasma-5"
"Low",30,0.32671185522555,42,"group=Low",2,"Plasma-5"
"High",31,0.102564102564103,12,"group=High",2,"Plasma-5"
"Low",31,0.318743273390781,40,"group=Low",2,"Plasma-5"
"High",32,0.102564102564103,12,"group=High",2,"Plasma-5"
"Low",32,0.302806109721242,38,"group=Low",2,"Plasma-5"
"High",33,0.102564102564103,12,"group=High",2,"Plasma-5"
"Low",33,0.294837527886472,37,"group=Low",2,"Plasma-5"
"High",34,0.0940170940170941,11,"group=High",2,"Plasma-5"
"Low",34,0.278900364216933,35,"group=Low",2,"Plasma-5"
"High",35,0.0940170940170941,11,"group=High",2,"Plasma-5"
"Low",35,0.278900364216933,35,"group=Low",2,"Plasma-5"
"High",36,0.0940170940170941,11,"group=High",2,"Plasma-5"
"Low",36,0.270931782382164,34,"group=Low",2,"Plasma-5"
"High",37,0.0940170940170941,11,"group=High",2,"Plasma-5"
"Low",37,0.254994618712625,32,"group=Low",2,"Plasma-5"
"High",38,0.076923076923077,9,"group=High",2,"Plasma-5"
"Low",38,0.247026036877855,31,"group=Low",2,"Plasma-5"
"High",39,0.076923076923077,9,"group=High",2,"Plasma-5"
"Low",39,0.231088873208316,29,"group=Low",2,"Plasma-5"
"High",40,0.076923076923077,9,"group=High",2,"Plasma-5"
"Low",40,0.231088873208316,29,"group=Low",2,"Plasma-5"
"High",41,0.0683760683760684,8,"group=High",2,"Plasma-5"
"Low",41,0.231088873208316,29,"group=Low",2,"Plasma-5"
"High",42,0.0683760683760684,8,"group=High",2,"Plasma-5"
"Low",42,0.231088873208316,29,"group=Low",2,"Plasma-5"
"High",43,0.0683760683760684,8,"group=High",2,"Plasma-5"
"Low",43,0.231088873208316,29,"group=Low",2,"Plasma-5"
"High",44,0.0683760683760684,8,"group=High",2,"Plasma-5"
"Low",44,0.231088873208316,29,"group=Low",2,"Plasma-5"
"High",45,0.0512820512820513,6,"group=High",2,"Plasma-5"
"Low",45,0.222835699165162,27,"group=Low",2,"Plasma-5"
"High",46,0.0427350427350427,5,"group=High",2,"Plasma-5"
"Low",46,0.222835699165162,27,"group=Low",2,"Plasma-5"
"High",47,0.0427350427350427,5,"group=High",2,"Plasma-5"
"Low",47,0.222835699165162,27,"group=Low",2,"Plasma-5"
"High",48,0.0427350427350427,5,"group=High",2,"Plasma-5"
"Low",48,0.222835699165162,27,"group=Low",2,"Plasma-5"
"High",49,0.0427350427350427,5,"group=High",2,"Plasma-5"
"Low",49,0.222835699165162,27,"group=Low",2,"Plasma-5"
"High",50,0.0341880341880342,4,"group=High",2,"Plasma-5"
"Low",50,0.222835699165162,27,"group=Low",2,"Plasma-5"
"High",51,0.0256410256410256,3,"group=High",2,"Plasma-5"
"Low",51,0.222835699165162,27,"group=Low",2,"Plasma-5"
"High",52,0.0256410256410256,3,"group=High",2,"Plasma-5"
"Low",52,0.206329351078854,25,"group=Low",2,"Plasma-5"
"High",53,0.0170940170940171,2,"group=High",2,"Plasma-5"
"Low",53,0.206329351078854,25,"group=Low",2,"Plasma-5"
"High",54,0.00854700854700855,1,"group=High",2,"Plasma-5"
"Low",54,0.206329351078854,25,"group=Low",2,"Plasma-5"
"High",55,0.00854700854700855,1,"group=High",2,"Plasma-5"
"Low",55,0.206329351078854,25,"group=Low",2,"Plasma-5"
"High",56,0.00854700854700855,1,"group=High",2,"Plasma-5"
"Low",56,0.206329351078854,25,"group=Low",2,"Plasma-5"
"High",57,0.00854700854700855,1,"group=High",2,"Plasma-5"
"Low",57,0.1980761770357,24,"group=Low",2,"Plasma-5"
"High",58,0.00854700854700855,1,"group=High",2,"Plasma-5"
"Low",58,0.1980761770357,24,"group=Low",2,"Plasma-5"
