"feature","A10_AR38_S10","A45_AR51_S18","A18_AR50_S18","A44_AR49_S18","A29_AR21_S18","A3_AR20_S3","A17_AR47_S17","A28_AR19_S18","A16_AR46_S16","A27_AR18_S18","A5_AR43_S5","A6_AR44_S6","A12_AR42_S12","A41_AR41_S18","A26_AR17_S18","A2_AR14_S2","A23_AR12_S18","A40_AR40_S18","A11_AR39_S11","A25_AR15_S18","A15_AR37_S15","A24_AR13_S18","A37_AR32_S18","A38_AR34_S18","A39_AR35_S18","A9_AR33_S9","A20_AR05_S18","A36_AR30_S18","A7_AR06_S7","A21_AR08_S18","A43_AR48_S18","A4_AR31_S4","A22_AR11_S18","A14_AR07_S14","A35_AR29_S18","A33_AR27_S18","A34_AR28_S18","A19_AR04_S18","A32_AR25_S18","A8_AR26_S8","A13_AR02_S13","A1_AR01_S1","A30_AR22_S18","A31_AR23_S18","A42_AR45_S18"
"EIF3F",-1.53081673577215,-1.53081673577215,0.719600021286567,-1.53081673577215,-0.320624487502804,-1.53081673577215,0.54639481397059,-1.53081673577215,-1.53081673577215,0.462471574547039,-0.927877450442931,0.512868349048214,1.41582724787901,0.689066277542696,0.221038945837046,0.409216927670014,0.919920029012798,0.154620195342729,1.11162818151825,-1.53081673577215,-1.53081673577215,-0.142368920087594,0.588502212903646,0.402507491978852,-0.072863748156375,0.440823854669047,0.188069262672506,0.472962594688261,-0.178311199065486,0.316680771920068,-1.53081673577215,1.76501387318428,1.51941234992228,-0.260848878564866,0.242800493598351,-1.53081673577215,0.864265021749065,0.238066040991156,-0.383945322930525,1.07003636293399,-1.53081673577215,1.16437331730791,-0.830597691832067,-0.127546810390675,0.0242158554742056
"NPM1",1.01473677287579,0.698398481013159,0.84472445169373,-0.767597529898837,0.632545346076408,-1.09287414996893,1.423974671323,-0.952684755472751,1.98698137242174,2.50167576663169,-0.0463152368005074,0.471617225054668,1.50322027759916,1.45338061258012,0.313730510569023,-0.310873185178382,-0.952684755472751,-0.952684755472751,1.0094574540187,0.205335250133997,-1.09287414996893,-0.952684755472751,0.943310601459841,-0.952684755472751,0.482022221213808,0.847967784557453,-0.952684755472751,-0.952684755472751,-1.09287414996893,0.683297372359505,-0.767597529898837,-1.09287414996893,-0.2233667562526,-0.481738661771076,-0.952684755472751,-0.952684755472751,1.41700701227712,0.497095196197669,-0.952684755472751,0.147079252004995,-1.09287414996893,-1.09287414996893,-0.952684755472751,-0.952684755472751,-0.952684755472751
"ALG5",-1.0640724932296,0.964854771628101,-0.627925092790174,-0.800052826462584,0.188324700441677,-1.0640724932296,-1.0640724932296,0.859017221886978,-1.0640724932296,-1.07054298478313,0.819398120493525,0.210295155445935,-0.568294926186855,1.24785088798682,-1.07054298478313,0.782877122178272,-1.07054298478313,-1.07054298478313,0.487516572781759,-1.07054298478313,0.506337480354766,1.76386960448545,0.999088873469911,0.51894208191226,-1.07054298478313,1.01698613053263,1.21264184772391,-1.07054298478313,-1.0640724932296,0.653771161920959,-0.800052826462584,-1.0640724932296,0.882722240829049,1.44653646771563,-1.07054298478313,-1.07054298478313,1.33128547384545,0.204203297338192,-1.07054298478313,1.56932105076481,-0.141307036121068,0.894280871623765,1.64870957517237,-1.07054298478313,1.220853560309
"PKHD1L1",1.45983882363195,1.21353862315168,-0.709039184292276,-0.842744840910277,1.16031247438628,1.33653687802362,1.02021621964714,1.79241522598687,-0.243721029899185,0.199184564400372,0.74093898094115,1.96089463947373,-1.15710469232713,-1.09450086298478,1.25097543876025,0.050462675571289,-1.09450086298478,-1.09450086298478,1.08358220981913,1.18438725515044,-1.15710469232713,0.742913859776364,1.06434654530091,-1.09450086298478,-1.09450086298478,0.309769146148401,-1.09450086298478,0.670312803158447,-1.15710469232713,0.907259153290995,-0.842744840910277,0.124103359421888,0.634856447817522,-1.15710469232713,-1.09450086298478,-1.09450086298478,0.468855845599381,0.363498398801859,-1.09450086298478,0.958755921874542,-1.15710469232713,-0.437936782903629,-1.09450086298478,0.294223715257255,-1.09450086298478
"NAGK",1.42008671458058,0.710777930730243,1.51415175640491,1.42461059074868,0.906712359428397,-0.989258403070711,0.972455152294773,1.00309443792954,-0.989258403070711,0.241473679560713,-0.989258403070711,1.41761962852215,0.576839353237483,-0.970720314606633,1.22701046773965,-0.47350626775867,0.494116694180187,-0.970720314606633,0.53284685368093,-0.970720314606633,-0.989258403070711,2.04008783238808,0.973333384712627,-0.970720314606633,-0.970720314606633,1.1223012985477,-0.970720314606633,1.56805230965809,-0.989258403070711,0.742456575555151,-0.355646347826982,-0.989258403070711,-0.283468986124552,-0.989258403070711,-0.970720314606633,-0.970720314606633,-0.970720314606633,0.395437107611906,-0.970720314606633,0.817517751834848,-0.121108774743445,1.37533363263952,0.718223304706809,-0.970720314606633,-0.970720314606633
"TNS1",-1.38637120370539,0.0830882958343567,0.530592612127519,-0.848662498098477,0.827621365019434,-0.49829513217665,0.59273714527444,-1.30386949895582,1.42640790245022,-1.30386949895582,1.19500258320046,-1.38637120370539,-1.38637120370539,-0.566642042402237,0.986893166551253,0.467895149637613,-1.30386949895582,-1.30386949895582,0.87133734632498,-1.30386949895582,-1.38637120370539,-1.30386949895582,0.976980282391272,1.74063814606816,0.0517068987920925,0.411962237999529,1.33011429318714,-1.30386949895582,0.73262287618209,0.433458478800825,-0.848662498098477,0.128146826834603,-0.221085408298664,1.12077463963314,0.623587165866599,-1.30386949895582,0.794144546105716,0.89926833071564,-1.30386949895582,1.12606088955472,-1.38637120370539,1.00355290386814,1.18278662068578,0.777975974987802,0.302990476600129
"LAMP1",-1.01637284271101,-1.01637284271101,1.31946197149426,-1.01637284271101,0.19400264121978,-1.01637284271101,-0.0735645228357288,-0.118891152346055,-1.01637284271101,-1.01637284271101,-1.01637284271101,-1.01637284271101,-0.480523813691242,-1.01637284271101,0.735748088022887,-1.01637284271101,-1.01637284271101,0.375243496939901,1.54174914974197,0.16058829732038,0.680966277587636,-1.01637284271101,0.690691312837721,-1.01637284271101,0.441800894112523,0.791755621203606,0.529655488945485,0.593493965823904,0.336337477365387,1.10917830129025,-1.01637284271101,-1.01637284271101,0.266525615286071,-0.363578329395132,-1.01637284271101,2.30986949127568,0.56359747825098,1.05218732570592,-1.01637284271101,0.384325229298407,2.49052697474018,1.75741017330319,-1.01637284271101,-1.01637284271101,0.712102969497926
"ZBTB16",0.493417752696709,1.06916821437727,-0.113320951514435,-0.482820027419406,0.723586813627227,0.871901421696613,0.786468341874011,1.16723294175719,1.08269202782423,-0.0838961401222783,0.38070822817162,1.25296991348334,0.972834104334414,1.1801855125936,1.25474792642702,0.596176539158208,-1.30139673672977,-1.30139673672977,1.01564647047845,-1.30139673672977,-1.37961249891214,0.265530454892784,0.493059950994233,-0.396989141769074,1.73631596657735,-1.37961249891214,0.414697251147248,0.197734300265819,-1.37961249891214,0.329856164809997,-1.04129436523242,-1.37961249891214,0.637072474647627,-0.00291585990081253,0.350471110299092,-1.30139673672977,-1.30139673672977,1.38442522247507,-1.30139673672977,0.600676522844241,-1.37961249891214,0.620990582809841,-1.30139673672977,-1.30139673672977,0.146891144118978
"PDS5A",-0.954628425708992,-0.954628425708992,-0.316483722648965,-0.954628425708992,0.803110125178402,-0.954628425708992,1.50751799363233,0.124273840788669,-0.306535281683098,-0.954628425708992,-0.954628425708992,-0.954628425708992,-0.954628425708992,0.800013828251543,-0.0279472855472324,0.062773755981301,-0.954628425708992,-0.954628425708992,1.51294641638586,-0.954628425708992,2.26919633943169,1.60435906211321,0.8197999208768,-0.954628425708992,1.02481627422547,0.839638782512477,2.43778996940424,0.25856028057072,0.290975415741792,0.205670888558027,-0.954628425708992,-0.954628425708992,1.40249393543663,-0.954628425708992,-0.954628425708992,-0.954628425708992,-0.954628425708992,0.950144868181967,-0.954628425708992,1.33733506206345,-0.954628425708992,0.399485547388799,-0.954628425708992,0.337727399985949,0.973886989399973
"NHEJ1",1.17825010013337,0.856926531916331,1.38945997120129,-1.05682578884248,0.997092696207639,1.37165817908453,0.278408586403053,-0.892322118405825,1.30341787296266,-0.892322118405825,0.990415904481042,-1.08218698700971,-0.557023828832167,1.46713297882491,0.112695969224131,-0.501495901150431,2.47344762461413,-0.892322118405825,1.23615529480523,-0.892322118405825,-1.08218698700971,-0.892322118405825,1.25661671839976,-0.892322118405825,-0.892322118405825,-1.08218698700971,0.361356486789859,0.715391296605991,-1.08218698700971,1.01321391710902,1.06637850727112,-1.08218698700971,0.108683466661131,-0.0409931640109095,-0.892322118405825,-0.892322118405825,0.0271628731487983,-0.892322118405825,-0.892322118405825,1.07816040183298,-0.104727630381583,-0.0832682132944235,-0.892322118405825,-0.892322118405825,-0.892322118405825
"TINCR",-0.984757408567967,-0.984757408567967,1.35200854995666,-0.984757408567967,-0.392785368065191,-0.984757408567967,0.210131886807038,-0.984757408567967,-0.295394000647051,-0.984757408567967,1.70995475977239,-0.984757408567967,-0.984757408567967,0.981758910142416,-0.984757408567967,1.6407237064544,-0.984757408567967,-0.984757408567967,1.25442061081846,-0.984757408567967,-0.984757408567967,0.834038525353443,0.474072195227236,-0.984757408567967,0.73277911362778,-0.23749009994927,0.244813163694041,0.592039942473077,-0.984757408567967,0.703871111201575,-0.984757408567967,-0.984757408567967,-0.984757408567967,1.38572798611747,1.04598964173878,-0.984757408567967,1.72906313174293,-0.984757408567967,-0.984757408567967,-0.301269436138959,-0.984757408567967,1.72852654647541,1.73506882645972,0.389895022891667,0.253608946899912
"AKAP9",-0.898951022121178,0.610086253553843,0.783509554696044,0.761426546440927,0.728088052656696,0.896718598798534,0.822101092742922,-1.19569151672545,1.38619330871202,-1.19569151672545,1.10324667097124,0.988307209523261,0.0518206672886424,0.483241397383121,1.19406315373792,0.125710447625849,1.80500236323164,1.05354915786323,0.343582070635843,-1.19569151672545,1.16416023519001,1.27191157328131,0.691610249481827,-1.19569151672545,-1.19569151672545,1.12956953273582,-0.0307826877683179,0.0268894624884026,0.243861997991233,1.15106160683103,-1.26350233725531,-1.62417070023414,-0.507851552498025,-0.996908828186085,-1.19569151672545,-1.19569151672545,-1.19569151672545,1.00344075931531,-1.19569151672545,0.707578478003357,-1.62417070023414,0.81993544588242,-0.545825119372848,-1.19569151672545,-1.19569151672545
"LRRC7",0.4522750356284,0.552425210557754,1.1506701995775,0.592528692874449,0.53905127819212,0.252748404006252,0.138839277029173,1.48403477310164,1.38713020280541,0.191539026891453,-0.636736263230521,1.0018345078228,0.864006293373043,-0.697939478194633,0.331027736619939,-0.648989384079439,-0.248442286004388,0.270344221897481,0.388549248159472,-1.41762331575239,0.784219515061894,0.380380981535589,0.562388441144937,-1.41762331575239,-1.41762331575239,0.730100676893761,0.342222113012423,0.313533060536195,-1.606192777745,0.833923857253098,-1.32613831037798,-1.606192777745,1.12860099588369,-0.975367611929182,-1.41762331575239,2.71553107543218,0.198799867506819,-1.41762331575239,-1.41762331575239,0.534563945121416,-1.606192777745,0.510519353365669,-0.782066113088295,-1.41762331575239,1.22775595023251
"KIAA0825",1.12824494953363,0.437698333831396,0.456407435921131,1.19416136950535,-0.333059784439181,1.23342411596594,1.25057189357765,-0.922852943112732,-0.976570586119948,-0.922852943112732,1.47414196663176,-0.976570586119948,-0.976570586119948,0.270885563904371,1.54541599344078,-0.976570586119948,-0.922852943112732,-0.922852943112732,0.480003111423188,2.35735142578227,-0.976570586119948,0.432273388578573,1.39385113854378,-0.922852943112732,-0.922852943112732,0.790553938219834,-0.922852943112732,0.648140662377026,-0.976570586119948,0.85873569174332,0.323737653311092,-0.976570586119948,1.29117724043039,-0.976570586119948,-0.922852943112732,-0.922852943112732,-0.922852943112732,0.515060097516848,-0.922852943112732,0.985111133639155,-0.976570586119948,-0.26149899433624,-0.239438518979635,-0.922852943112732,-0.922852943112732
"MT-CYB",0.757215163017768,0.802307385836981,0.563688418627498,0.266529887387406,1.18986029498166,0.609588999170688,0.667622096642155,-1.23305650740922,0.290446704621446,0.220937696535667,0.529971638701083,0.887941306030879,0.260700368280909,-1.23305650740922,0.555812468253555,0.888177500921863,-1.23305650740922,-1.23305650740922,-1.57798116117513,-1.23305650740922,0.686301840161461,0.540291933337618,1.49618517515556,1.26994384028882,-1.23305650740922,0.820074496361679,0.701168484361428,1.24166853724517,-1.57798116117513,1.16186685101549,-1.25536798350485,-1.57798116117513,0.888103747367077,0.218270832832864,-1.23305650740922,-1.23305650740922,-1.23305650740922,0.963335612788368,-1.23305650740922,0.420921384170334,-1.57798116117513,1.12158925039817,0.872243700826433,-1.23305650740922,-1.23305650740922
"SLC22A8",-1.1166922136205,0.622586076546713,0.934209854369738,0.586858642537547,0.547449350877256,-0.20704451848326,0.123726812087221,1.48459150888712,-1.1166922136205,0.476225413719616,1.6108142104025,0.532717477708524,1.49766505413015,0.897567018363828,1.58268788681282,0.640299464374632,1.77923240650343,-1.08948705223726,0.620779371231804,-1.08948705223726,-1.1166922136205,-1.08948705223726,0.88788313462174,-1.08948705223726,-1.08948705223726,0.934668072298866,0.423850202006987,-1.08948705223726,-1.1166922136205,0.918144722897773,-1.09441979522257,-1.1166922136205,0.742519452245548,-1.1166922136205,-1.08948705223726,-1.08948705223726,-0.188239225142669,0.352848891727173,-1.08948705223726,0.71335555515987,-1.1166922136205,-0.153174589503245,0.452375614774784,-1.08948705223726,-1.08948705223726
"RAB6B",1.18891915576185,0.462824392103304,1.32382507795872,1.11762238677077,1.33283038725727,-0.961229061318033,1.49174178489183,0.72322502972047,-0.961229061318033,-0.891598164027748,-0.961229061318033,-0.961229061318033,-0.961229061318033,-0.137314495927366,1.5024956032029,1.14068180350595,-0.891598164027748,-0.891598164027748,0.764968319212778,-0.891598164027748,-0.961229061318033,0.992847763257348,0.828668861103083,1.34208988588054,0.495340329098327,1.16574455343483,-0.891598164027748,-0.891598164027748,1.20707425168145,0.822742749908556,0.96811483670368,-0.961229061318033,-0.891598164027748,1.01417922880403,-0.891598164027748,-0.891598164027748,1.91226520369095,-0.891598164027748,-0.891598164027748,0.920657858139851,-0.961229061318033,0.187006240897827,-0.891598164027748,-0.891598164027748,-0.891598164027748
"MTMR3",1.25469020219186,0.631762207300872,1.27169515859212,0.723144604102858,1.66180917505626,-1.05183126999727,1.10922904357979,-1.12331710480534,-1.05183126999727,-1.12331710480534,0.802668496929718,-1.05183126999727,1.55531411990132,-1.12331710480534,0.386008215377815,-1.05183126999727,0.211497123459932,0.31851124812072,0.568821017210121,-1.12331710480534,-1.05183126999727,0.620067513984094,1.13719499553956,-1.12331710480534,0.387470155548122,-1.05183126999727,0.177336255588916,0.241728827924142,-1.05183126999727,1.19338154849371,-1.12489383527333,1.52977241165899,-0.0848043052768409,1.05129252396004,-1.12331710480534,-1.12331710480534,0.722098283414973,-1.12331710480534,-1.12331710480534,-1.05183126999727,-1.05183126999727,-0.374423596393495,-1.12331710480534,1.12747092079975,0.18664053241702
"CCDC14",1.66821622775787,0.914791858826774,1.08515301498365,-0.149172788942143,0.796717528336632,-0.801265798461998,0.904877241974854,1.80918922041568,-0.136288473506017,-0.910208709934665,-0.23151639587361,1.94620552147134,-0.801265798461998,1.41771774300473,-0.910208709934665,-0.801265798461998,-0.910208709934665,2.0831980277941,-0.801265798461998,-0.910208709934665,1.25079558320681,1.28211243786126,0.489167532455444,0.422984014284579,-0.910208709934665,-0.801265798461998,0.269251758024837,1.92354015718523,-0.801265798461998,0.504912160412509,-0.788200198948407,-0.801265798461998,-0.910208709934665,-0.801265798461998,-0.910208709934665,-0.910208709934665,-0.910208709934665,0.474199019767198,-0.910208709934665,0.94159945253331,-0.801265798461998,1.16700415609284,1.24861229586988,-0.910208709934665,0.277689076557096
"CBL",-0.617286029569069,0.834011776880467,0.903801140771997,0.981806984662275,0.446456696255034,1.37539662628717,1.0389121630515,-0.0754968950376374,-1.09398809745437,-0.915517776590425,-1.09398809745437,-0.563226436685069,0.457926408239439,0.984492258790353,0.289203786030268,1.39094263902748,-0.915517776590425,2.44803038764544,1.35816982005508,-0.915517776590425,1.22103654624405,-0.915517776590425,1.19316801083554,1.91743417413524,0.449297128285831,-0.0103404801606712,-0.915517776590425,-0.915517776590425,0.837335806737151,0.991288954750021,-1.0819017919711,-1.09398809745437,-0.915517776590425,-1.09398809745437,-0.915517776590425,-0.915517776590425,0.204340564968802,-0.915517776590425,-0.915517776590425,1.01284858533596,-1.09398809745437,0.3053119775888,-0.915517776590425,-0.915517776590425,-0.915517776590425
