"feature_id","BUH00071","UCH00007","TST0010","UCH00002","UCH00105","BUH00002","BLT00042","UCH00093","UCH00045","BUH00026","UCH00123","BUH00177","BLT00064","BUH00214","UCH00036","BUH00093","BLT00021","BUH00089","BUH00154","UCH00101","BLT00103","BUH00213","UCH00112","BUH00246","UCH00005","BLT00097","UCH00142","BUH00377","BUH00183","UCH00017","UCH00089","BLT00093","BUH00175","UCH00003","BUH00076","UCH00136","BUH00001","UCH00006","BUH00247","TST0041","TST007","BLT00059","BUH00003","BUH00328","BUH00180","UCH00151","UCH00072","BLT00225","UCH00156","BLT00072","BUH00317","BUH00330","BLT00160","UCH00029","UCH00091","TST0016","BLT00070","TST26","UCH00152","TST0012","BUH00008","TST0038","BLT00067","BUH00268","BUH00211","UCH00067","UCH00050","UCH00030","BUH00209","BUH00095","BLT00037","UCH00062","UCH00109","BLT00069","UCH00119","UCH00095","UCH00021","BLT00083","TST0031","TST0043","UCH00079","BUH00224","BUH00018","UCH00145","UCH00040","TST0042","BLT00087","BUH00208","TST0036","UCH00129","UCH00069","BUH00173","BUH00316","BUH00184","UCH00158","BUH00215","BUH00059","UCH00009","BUH00052","UCH00149","UCH00116","TST0028","UCH00160","UCH00153","BLT00073","UCH00164","UCH00118","UCH00051","UCH00046","UCH00018","TST004V1","TST0045","UCH00103","BLT00002","TST0029","BUH00140","UCH00138","UCH00028","BLT00080","BUH00281"
"hsa-let-7a-2-3p",3.51728067696612,4.42691758199547,4.84933447669196,4.00823794061164,1.32230364432993,3.73875298475008,1.32230364432993,1.32230364432993,5.214931183714,3.98342679797418,6.05456902727902,5.61637083820111,4.42510725363788,1.32230364432993,3.24262569180419,1.32230364432993,3.49053300034023,5.04819863328329,3.47395859191625,1.32230364432993,1.32230364432993,3.76425085505848,5.2343707485177,1.32230364432993,1.32230364432993,4.67572666914017,1.32230364432993,1.32230364432993,4.56429096433594,1.32230364432993,4.3679400592611,2.99429655046836,1.32230364432993,3.12091697085541,4.1372653348383,1.32230364432993,4.28661650657823,1.32230364432993,1.32230364432993,4.76849160983007,5.37430250537619,1.32230364432993,5.03788245884118,4.51063937812808,1.32230364432993,1.32230364432993,5.3409961693275,3.90691039003102,5.83431634413037,1.32230364432993,3.31595869327327,1.32230364432993,1.32230364432993,1.32230364432993,1.32230364432993,1.32230364432993,1.32230364432993,1.32230364432993,1.32230364432993,3.81431041776168,5.06666687148364,1.32230364432993,1.32230364432993,4.11963824845678,4.90848159646109,1.32230364432993,5.55697327817154,1.32230364432993,4.5122499668616,3.77803085770934,1.32230364432993,1.32230364432993,4.48807956057939,1.32230364432993,1.32230364432993,4.48035093119805,1.32230364432993,5.51164039157592,1.32230364432993,4.40296190594683,1.32230364432993,1.32230364432993,5.05635032644468,3.22465834621649,1.32230364432993,5.77116487249919,1.32230364432993,4.72356400248801,1.32230364432993,1.32230364432993,1.32230364432993,1.32230364432993,1.32230364432993,3.82589313444831,4.90147665457613,4.70188096407977,5.11577664175095,1.32230364432993,4.19223250710657,1.32230364432993,3.08391807650838,4.43819632259,4.98304267957439,1.32230364432993,4.03057162318544,5.04515170102696,5.24036368582414,5.40209998751027,1.32230364432993,4.63410490017027,1.32230364432993,3.41130166309192,1.32230364432993,3.37062387000973,1.32230364432993,5.10960543498729,1.32230364432993,1.32230364432993,3.427629180273,1.32230364432993
"hsa-let-7a-3p",5.51588996312361,6.01339480291986,3.65151080689572,4.67246820343154,7.24027723525772,8.29901540784355,7.18965566230102,7.17780608651742,3.81222627258632,1.32230364432993,4.37690059797324,5.36797022976681,3.92175891426648,8.32533161454814,5.03034297804824,8.328879774787,6.0986449012751,3.63183526030216,8.40223114458534,7.26290517654808,7.2211912704007,6.34197407240414,5.5370033443187,6.86515482956643,5.60441044630725,3.81039526017432,5.1237763148551,8.01073171717696,3.45467844266934,6.26525794243397,4.96505367638536,7.28168553772491,7.30902949755563,6.37650699176371,3.86570167723316,8.10285079922283,3.88653231829914,6.24664348857096,8.01974717565485,6.41966088746466,6.64307752928371,5.25125704557082,6.1961159808258,7.53254233925773,6.85298143032946,6.53011946012774,4.59889861812665,8.25557087540223,4.96413027122646,6.59550126202688,6.52352032825161,8.0699109217253,7.58671593578504,7.05932145508452,8.41951525519969,7.70406062526496,6.27579830231844,8.66751670081035,6.12236743527072,3.72698862081378,7.70490190218885,7.50448211751846,5.32287867303185,3.31353967882251,2.68568413842195,8.15278840926031,6.96679562467165,7.08936979264704,6.8783047567725,6.34028212057254,7.3387833594032,6.84627506838835,5.78322762925903,3.93334906680597,8.72779078997134,7.97866000087036,8.03626858254798,4.67233540156028,6.78510126905596,3.90084044077763,7.22717020890792,7.48015697729181,8.52500769735076,6.07789465734526,7.50017767640132,5.37798078203309,7.22460813182128,3.08415154809624,8.05933586287904,8.47526604792633,7.81569457339272,6.33127814864219,6.57785564693654,2.67674570181562,2.6211137176761,4.44285414843663,5.62345865685308,7.52653282132828,4.29244842404798,6.97825770323263,7.64234646847756,4.61795868076212,6.36799252065721,6.7302635809517,8.89450748115274,7.7399155335366,6.93690684223057,6.35879831032271,6.65509505116013,7.57046720568581,5.43807663395735,4.51391558240346,6.66114841446333,5.38245522078277,7.89746260379986,6.33918037681718,5.78024272791492,6.29806657563714,8.57908435105938,8.10432117975076
"hsa-let-7a-5p",15.2590902847692,15.5202344302693,16.1966278316445,15.4347696805674,16.6960310488413,17.9776848419555,15.6921515088849,15.9821857989663,16.3984274142602,13.0820835004471,14.3399039945955,15.6200007838694,13.6692603631893,17.5878839104975,16.3568883674529,17.4731379648021,16.423543091739,13.5593255736746,19.0127335007608,16.9637862080304,16.4140535244567,16.44376856207,15.3030250993668,14.5424715399948,16.021139422595,14.3986757210536,15.6394452598106,16.9852533806826,12.6092522454895,16.8522525409551,15.5736422700275,17.0310653069048,17.0696392022064,15.4722458096646,14.423501008184,16.9922077825069,13.8794788391663,15.1553392087098,17.6014955783157,17.2622695194943,15.3028833811229,13.3190470307444,16.2853745402986,15.0465769358988,16.6635380385285,16.9254973569303,16.4692832961892,16.7722073647947,16.0112576328197,17.0295624617841,16.1594748388931,16.0262592026481,16.7892029409961,16.3851053075551,16.2514171586379,14.1418080354514,16.3518577894599,17.1943979573145,16.4062703413283,14.4733073756026,17.0259641717931,16.3227391740508,15.833785428103,13.0621539514439,12.9891236765783,17.0574928370847,16.0417187491907,17.0079655753922,15.3899692814677,16.2144975327769,15.0859343801301,16.5206491586951,16.3802448484606,14.0840126260843,16.9430411033378,16.8152979780186,16.2938174009559,15.2884867851015,14.7351384562177,11.6320080332946,15.9404235272309,18.4881847134799,17.0508278170641,15.4204989029236,15.8587479972801,15.2635877161452,14.7690014815829,12.9685796802578,16.9820563107279,17.1357097548379,15.4816121663067,14.7852938049794,15.2016789211606,10.6322158378787,15.793264585506,16.2853071891528,17.6849241597928,16.5174321836153,12.4824779503767,15.644771924792,16.2244731878245,15.2528098326765,16.1012692779277,16.5818499323041,19.1334938647725,16.270822324592,16.7641643980465,15.7927370373988,16.8986157143915,17.7268460297259,14.4466041333029,15.5049872312713,16.5873212238125,14.0859405722842,14.6518366359154,17.0244843393627,16.9686452925394,15.5896151866722,16.7287018936792,15.1314841644636
"hsa-let-7b-3p",6.87468803524006,7.36379720104022,6.73140471736711,6.35677001108572,11.0192364887857,9.1463386904429,9.24749185423282,10.2146046363826,7.88107729996641,5.40770778252297,6.24041340031933,8.94056763200212,5.73117239808967,11.2444447922211,7.71613310154637,8.76036249876335,8.0105303445711,5.19713997383475,7.99480791278065,9.40210568874501,8.52077232141774,6.41195277704343,9.14906722557093,9.60182185281921,8.39960298829543,6.16337704198734,9.6060070501937,8.67408387910389,4.72681082837935,9.57025274317656,6.25932722024102,8.01951590985357,10.1808329991671,10.7735923284272,6.33988843284942,9.37982288247351,5.36662963910573,10.0160288406496,9.50050799479049,8.44005762289488,10.3957987098248,7.28100632563676,7.01080287416539,10.2408016640212,10.3948609899744,9.58272091131178,6.64812073912692,8.46568809589859,6.97692358978712,11.3098971283716,11.3959943676846,8.48158804366638,9.59802342149059,8.47594002457112,11.1965381541196,10.0885215612283,9.86924628407068,11.918854687307,9.37276193415556,5.65595612542192,8.2281373213446,11.416533821286,9.12502667113452,5.01194936043282,5.51620214004379,11.3677723067331,8.34733158352191,10.0938425733797,10.1808096987968,8.85307457390828,9.8889761673553,8.51747620802864,8.40030250527184,4.81016614176251,9.5556604900495,10.4773790694633,11.5082946295966,8.32909920788594,9.65830378027756,5.07004970521194,10.3755315905617,9.59033990774477,8.59684302204171,9.95411366480635,10.6162673514279,9.16271284171834,8.96831580859065,5.01792020864241,10.5583366448473,9.75924723124968,10.2879076455467,10.561171305986,9.2024768139476,3.95222914227506,7.26717940848164,6.77391717929098,7.35197020176082,9.15208884592923,5.24812794032546,9.97678865460878,10.9695986059043,7.11544667372267,9.90506421619322,8.54096545411215,9.67315226792469,8.65789861838325,10.5500232235871,10.5357574411263,11.505445535718,9.2734101653125,7.1155828664302,8.58874040990199,8.09250772925494,8.73472115344452,10.5367594534484,7.18003674181135,10.3187692732832,10.4160048971191,8.6986237194547,10.2481548789407
"hsa-let-7b-5p",15.0018901672872,15.0948893348045,15.6519419566051,15.6792606236134,17.2278786691823,16.5033229723579,15.5066028128654,16.2776998743839,16.2211559356287,15.0569058082754,14.8131505556615,16.1287167499632,14.7793770699464,16.7224304431674,16.1120793917329,17.0633622070505,15.2310418482313,13.9079526155208,17.6335390100063,17.1716886164781,16.6825081515757,15.6466481942214,15.8446364840168,14.9692209269332,16.4247363361517,14.2588961565343,15.8767786484089,16.1926202556097,12.733974862414,17.175230085674,14.7141071805238,15.7565134603976,16.5296856977069,16.9284936304432,15.1311635389602,16.4075605533067,14.3721875652374,16.6744374319146,16.5347914363875,16.8015802149243,16.0206272590371,13.9371675524822,16.5065460692197,15.9832999130339,16.1803239736285,15.5011210746471,16.0898416324147,16.2505261919657,16.5623151924985,16.794761777885,18.2768690824314,15.7162060550923,16.8577760926485,16.2588327418548,16.5771025278408,14.2672392371226,16.8095881740436,16.568838964732,16.6341318238192,14.7282398271248,15.7827106657637,17.1414844516189,16.3930274420407,13.5731442169391,12.8849511466049,16.5921489712088,16.6750209042252,17.5739394213264,15.773407272431,16.642790378616,15.5098439008266,16.5706682507893,16.1645991325855,15.4808948508005,16.7535204469095,17.1968833625378,17.1264498737333,14.7535724564722,15.4869790013971,13.9687790306908,16.7522681433581,16.9553795131983,16.4749514232636,15.5808600702838,16.7773995215493,16.4875241535385,15.6428360348458,14.3204909692498,17.4783090866683,16.7241307684542,16.1120723192124,16.1188794975808,15.0879227467356,11.8843472308553,16.0727308554197,16.5165788248392,17.5138894559254,16.4823785397353,12.9963314042994,16.5023212753059,16.3440740966092,15.7039173649957,15.9360064395208,16.6771994546586,17.2642035936429,16.1482285009935,16.6459801587011,15.8429163007067,17.0480475081547,15.9730567026899,14.6736794101321,16.4273372998974,15.4740062479588,16.0507112938946,14.6743282198541,16.5746072147837,17.5679443711357,16.813557125997,15.895522355971,14.3538822177281
"hsa-let-7c-3p",4.79998105211113,4.50950602963096,3.46177822289038,4.83981530017667,1.32230364432993,5.13127198638023,4.35303621277791,5.6418358733489,4.03180909665576,5.96405992700647,6.4050267118372,1.32230364432993,5.22114932256956,5.79553783075454,4.0382301376253,1.32230364432993,4.24851691880218,4.96753447357077,5.50950606813891,1.32230364432993,1.32230364432993,3.96382239199917,6.00005746431188,6.43559240224704,1.32230364432993,5.09613876291447,1.32230364432993,4.41416192765945,5.06747805063562,4.00280703456348,3.86779549661798,4.43548845920358,5.90693987316746,6.1433722401555,4.1372653348383,1.32230364432993,4.35485693861368,4.99427857320281,5.12190533132413,4.76849160983007,7.11815410521748,5.70936396451334,4.79664616035865,4.51063937812808,1.32230364432993,5.68283688349016,5.68364991982266,1.32230364432993,5.97267174300915,6.36126025709822,5.77365501670032,4.59884741669233,1.32230364432993,1.32230364432993,6.17437532823376,4.77994361841261,1.32230364432993,6.06334582287214,1.32230364432993,3.72698862081378,4.09549353856143,1.32230364432993,1.32230364432993,6.78660381892806,5.57690105780728,4.59696784465473,7.66602916407487,1.32230364432993,6.8783047567725,1.32230364432993,1.32230364432993,1.32230364432993,3.92506017274685,6.87643693387775,3.58798883126348,4.82107395321191,6.28520521797853,4.96568503292167,1.32230364432993,5.31507271095039,1.32230364432993,1.32230364432993,4.89991472263605,6.07789465734526,5.39836488124451,4.37433508172332,6.52938369180006,1.32230364432993,5.41068674846601,1.32230364432993,6.8316192269057,5.7685458136376,1.32230364432993,4.27592693378779,6.05318966273153,4.44285414843663,4.84920803657585,1.32230364432993,4.97408635429986,6.88076436589938,1.32230364432993,4.23280384319395,5.52947082323467,1.32230364432993,5.04234178507867,1.32230364432993,1.32230364432993,1.32230364432993,5.14000642841682,4.69755921742508,1.32230364432993,7.05219346417772,4.47519413431325,6.47199591254592,4.64216738671709,5.2975451151098,7.06223622664037,1.32230364432993,5.58279728215694,1.32230364432993
"hsa-let-7c-5p",12.734071409337,9.55354945096636,9.64390217318073,9.47435922177898,12.4445508797164,11.7073840925262,14.5542409628182,12.9344922190261,9.95595147550884,9.41288133442165,9.12908405213864,10.9426536472127,8.38667090043977,12.3467432876429,10.2180895630276,12.1492469156768,10.0694390178659,7.74084162691774,12.3251903395733,12.014712510882,11.5431525957976,10.261081759254,10.4232360978636,12.593555275285,11.0066241451302,8.66537708814761,12.7982739186571,11.7092481648673,7.27461267412192,12.448787789167,8.84776144975718,12.0674269419532,12.477594763885,12.6155471795932,9.27950574496752,12.0038350302448,8.92350404781732,13.2225560641159,11.4169978620719,11.2064536056017,12.9450474044267,8.96786239158377,10.612466455241,13.8420941777845,11.6268923490259,11.0226446775059,12.7943208279108,11.7091763945898,10.2694909509308,11.9771004890826,12.1090702376103,11.1003770990435,12.1824703657437,11.463059427237,12.5207565812766,14.1903123092465,11.5956078324082,12.478410905322,11.39289958374,8.54165781292542,12.1023668115781,12.6993377342994,11.1985697206772,8.34961478600329,7.84941558578265,12.7317012795606,11.9344798510156,12.1009999610916,12.6970270495758,11.4402832979757,12.5899271367902,11.4227270533971,10.6187229289711,9.58706402714032,12.0132435528478,12.433190912884,13.0993420553469,10.5945347920171,13.6362254104179,7.65453485058213,11.8633663861694,12.2538795488872,10.8945511250721,10.9572711571374,12.0275844919234,11.203327062448,12.98645224895,8.06933976409685,13.4184803798923,12.3921793909196,12.8444768983081,11.5474963570099,10.6752779218755,6.15553195121811,10.2659234410883,9.91103552931509,11.248544640143,11.7346933985442,9.46624632980704,12.4461252755096,12.5037299393078,9.75740015740351,10.9410767815516,11.6263646256939,12.5484744993899,11.4743381839926,12.308245983535,12.9870264134859,12.5396401206073,11.6495137714714,9.34282463458936,10.5468005502165,10.1111675195084,12.17179450011,13.5414462950614,10.7832322625957,11.9350827583838,12.9243637363875,17.2915218504815,14.1093405841517
"hsa-let-7d-3p",8.61945198178681,7.5988618571723,8.85792206865456,8.77629227464205,8.0008879688968,9.68041440536653,8.19942199689418,7.75443897974584,8.3580692442925,9.6820666023441,8.06341995129403,8.63743968222849,8.76793748775967,8.98994722944233,8.55559462007207,10.4965245539644,9.53983682015345,7.6788552596152,12.0908966070937,8.85644234605999,9.75970629832357,9.86701578630306,7.92273852428363,7.6484325597029,9.01526517035046,7.30506383948262,7.69686589479651,9.03732880961127,6.79586176115265,8.49609150499632,8.7447218185312,9.12983606550804,8.6907834721526,8.39760384422104,8.30609212982436,8.89083725823441,9.39793880442874,7.89167564566554,9.11642922692517,9.25030296593088,7.88490062458157,8.31843559833903,10.8484498340036,7.68259558873492,8.3886286329101,9.11814871187897,8.87573478186231,8.99076381022273,9.11322297228214,7.91666665047281,9.47373851871483,8.73560297241034,9.28980812466381,8.9275504458836,8.62456056668825,5.87500548885909,9.5436513816493,8.72960478617336,8.62312862602493,8.12130779085387,9.94513325124466,8.74086102554567,8.88849189982565,7.88815829013095,7.24757182110608,8.86242597944852,9.2913548023567,9.40780260006747,7.03553785386971,8.98668201867736,7.59809862896475,8.7615116507426,8.77932708047779,8.01145247210916,9.06575359418527,9.38044660876106,8.16832201895948,7.98071816842818,7.56762282941752,7.8615665419048,8.88041530720565,10.4883841955605,9.53680203246924,7.62680570930853,8.73372344153517,8.06755352615464,6.96638997265272,7.93478226317291,8.91573337702238,9.23723734885374,8.53183866752544,8.61690975051071,8.05742476837324,7.41968740202121,8.83644341232226,9.19036312249499,11.5311432337459,8.90342840205713,7.40517469343678,8.77862535555467,9.45529427530753,8.63852372935907,7.98010464990002,9.04154202793922,11.6808248356445,8.67457106929616,8.04289274010484,8.36950049792839,8.04758424966013,9.68894239459988,7.1155828664302,8.95092235840775,7.57016285397572,8.23132251562909,6.3424481860945,9.92133807627502,9.26736024473697,7.75371443844117,9.36442480520738,6.67752660728799
"hsa-let-7d-5p",11.7206412752277,11.7985802370255,12.9314854298499,11.5165800486316,13.3015388428761,14.0069330337913,11.9003822192083,12.3949275840431,13.2856591562426,9.67032543186407,10.4424116388455,11.6447208298916,10.7244354945644,13.1570272479017,12.7828126748272,12.9220080724787,12.9934819866136,10.0132461929255,15.5590422572869,12.4362705617239,12.3565488737398,12.7453628299162,11.3637885167423,11.4637390184276,11.5989318746972,10.2849629959957,11.9081175712895,12.5297338558389,8.33400726128946,12.7558455351036,12.1097988097612,12.85018885157,12.7075946414206,12.6084044272712,10.4422939956587,12.6553812959804,11.0885783086187,12.2521828896388,13.1923156617653,13.1761144659066,12.4222425074463,9.18629051864254,12.3796640526041,11.9475393179381,12.9763983341065,12.835142260599,11.385632952324,12.5280772963308,12.5619326007352,12.3133005116044,12.9340600160747,11.4411306895448,12.5837886528669,12.1253433176844,12.8553437101565,11.4412203269133,12.2604234245556,13.5133800852477,12.0266283110736,11.2647299321599,13.0442394512211,12.696907822771,11.5797148850041,9.4629326097568,9.11664619607064,12.7859021064868,11.9467503697273,12.8370880346914,12.1847870948976,12.1269424780339,11.5450668866315,11.9827178440744,12.7333305560157,9.74577247000295,12.5814750791232,12.8988706544376,13.0729029906898,10.9090031722255,11.88008194692,9.61839458332429,11.9922700115671,14.3069131616002,13.2614187332286,11.5760102007192,12.5791231825955,11.3730820543936,11.3804397540168,9.98455711289396,12.8299853483405,12.7306314972184,12.2266098797847,11.7857451739422,11.880030946375,8.32986394167041,12.2437678946454,12.8859068479869,14.0757979920839,12.3295351059716,9.57719784205705,12.2934838555649,12.7664132456432,11.845436226472,12.1943998080205,12.1366931234469,15.0148516661418,12.1685083477437,12.7450325565683,12.40228607982,13.1358230516053,13.8205148900976,10.101606516484,12.0000461848154,12.3693583746179,11.0337578203833,11.844063214673,13.3686735053584,12.7102105959336,12.628820514621,14.1022234525359,12.0533894065577
"hsa-let-7e-3p",3.31592479776464,3.33689503864838,3.12018911617211,1.32230364432993,1.32230364432993,4.83485069353044,1.32230364432993,1.32230364432993,3.553116133268,1.32230364432993,3.54086030733567,1.32230364432993,1.32230364432993,1.32230364432993,3.81845721653963,1.32230364432993,4.00851772290169,3.99952109343277,3.80545198256421,1.32230364432993,1.32230364432993,3.86748477794438,1.32230364432993,4.3584597882645,1.32230364432993,4.67572666914017,1.32230364432993,1.32230364432993,4.05362663633367,1.32230364432993,2.81506786199502,3.41985277954843,1.32230364432993,1.32230364432993,2.46465247722365,1.32230364432993,3.4605506197393,1.32230364432993,1.32230364432993,4.3350618367918,1.32230364432993,1.32230364432993,4.14372155141206,1.32230364432993,1.32230364432993,1.32230364432993,4.59889861812665,1.32230364432993,3.8059184984048,1.32230364432993,3.31595869327327,1.32230364432993,1.32230364432993,1.32230364432993,1.32230364432993,1.32230364432993,5.26648413546564,1.32230364432993,1.32230364432993,1.32230364432993,3.74914086977445,1.32230364432993,1.32230364432993,2.63722483107593,3.07046864977965,1.32230364432993,1.32230364432993,1.32230364432993,1.32230364432993,1.32230364432993,1.32230364432993,1.32230364432993,1.32230364432993,1.32230364432993,1.32230364432993,1.32230364432993,1.32230364432993,1.32230364432993,1.32230364432993,1.32230364432993,1.32230364432993,4.50287694013763,1.32230364432993,1.32230364432993,1.32230364432993,1.32230364432993,6.08452421368913,1.32230364432993,1.32230364432993,1.32230364432993,1.32230364432993,1.32230364432993,1.32230364432993,4.17588585410269,2.9960356111408,3.72180850934981,3.06183246525836,1.32230364432993,4.29244842404798,1.32230364432993,1.32230364432993,3.99323776359424,1.32230364432993,1.32230364432993,4.62339155840277,1.32230364432993,1.32230364432993,1.32230364432993,1.32230364432993,3.88583485879456,1.32230364432993,1.32230364432993,1.32230364432993,1.32230364432993,1.32230364432993,4.07997493814017,1.32230364432993,1.32230364432993,6.26371684724244,1.32230364432993
